WarningCritical;category
WarningMajor;category
WarningMinor;category
Best Practice Rules;category
Code Style Rules;category
Design Rules;category
Documentation Rules;category
Error Prone Rules;category
Multithreading Rules;category
Performance Rules;category
Security Rules;category
PMD_ACWAM;Abstract Class Without Abstract Method;Best Practice Rules;Minor
PMD_AMG;Accessor Method Generation;Best Practice Rules;Minor
PMD_AISD;Array Is Stored Directly;Best Practice Rules;Major
PMD_AMDF;Avoid Message Digest Field;Best Practice Rules;Major
PMD_APST;Avoid Print Stack Trace;Best Practice Rules;Major
PMD_ARCV;Avoid Reassigning Catch Variables;Best Practice Rules;Minor
PMD_ARLV;Avoid Reassigning Loop Variables;Best Practice Rules;Minor
PMD_ARP;Avoid Reassigning Parameters;Best Practice Rules;Minor
PMD_ASBF;Avoid String Buffer Field;Best Practice Rules;Minor
PMD_AUHCIP;Avoid Using Hard Coded IP;Best Practice Rules;Major
PMD_CRS;Check Result Set;Best Practice Rules;Critical
PMD_CII;Constants In Interface;Best Practice Rules;Minor
PMD_DLNLISS;Default Label Not Last In Switch Stmt;Best Practice Rules;Minor
PMD_DBI;Double Brace Initialization;Best Practice Rules;Minor
PMD_FLCBF;For Loop Can Be Foreach;Best Practice Rules;Minor
PMD_FLVC;For Loop Variable Count;Best Practice Rules;Minor
PMD_GLS;Guard Log Statement;Best Practice Rules;Minor
PMD_JUASIM;JUnit Assertions Should Include Message;Best Practice Rules;Minor
PMD_JUTCTMA;JUnit Test Contains Too Many Asserts;Best Practice Rules;Minor
PMD_JUTSIA;JUnit Tests Should Include Assert;Best Practice Rules;Major
PMD_LFIC;Literals First In Comparisons;Best Practice Rules;Critical
PMD_LoC;Loose Coupling;Best Practice Rules;Major
PMD_MRIA;Method Returns Internal Array;Best Practice Rules;Major
PMD_MO;Missing Override;Best Practice Rules;Minor
PMD_ODPL;One Declaration Per Line;Best Practice Rules;Minor
PMD_PST;Preserve Stack Trace;Best Practice Rules;Major
PMD_SSSHD;Switch Stmts Should Have Default;Best Practice Rules;Major
PMD_SP;System Println;Best Practice Rules;Major
PMD_UA;Unused Assignment;Best Practice Rules;Minor
PMD_UnI;Unused Imports;Best Practice Rules;Minor
PMD_ULV;Unused Local Variable;Best Practice Rules;Major
PMD_UPF;Unused Private Field;Best Practice Rules;Major
PMD_UPM;Unused Private Method;Best Practice Rules;Major
PMD_UAEIOAT;Use Assert Equals Instead Of Assert True;Best Practice Rules;Major
PMD_UANIOAT;Use Assert Null Instead Of Assert True;Best Practice Rules;Minor
